user_id,Label
1088823123972186112,Other
373863473,Blog
1232279819708227584,Other
52732962,Media
1051040771237978112,Other
3360734176,Media
19284221,Media
1439870593034297346,Other
1546197252884013056,Other
795738344906952705,Media
1280547269784350725,Other
970260786106060801,Other
1426621678726025218,Other
236988090,Media
21580831,Journalist
844886858379251712,Other
1235820969500934145,Media
115913636,Journalist
1489199194443292672,Other
202140100,Media
369429070,Media
526374412,Media
1164842172354482176,Media
581972052,Media
795199427006922752,Media
211796444,Media
896382234,Media
791389201,Media
1551830109400743937,Media
415625348,Journalist
1291243536374005760,Journalist
86044761,Media
2688036014,Media
18834081,Media
2801820046,Media
387685829,Other
3079370189,Other
1968610020,Media
131500587,Media
126052898,Media
224646951,Media
1273585048109944834,Media
562675766,Media
36633819,Other
1052877677605134336,Other
1428424966236745728,Journalist
302461496,Other
89718518,Other
1490312874895491073,Other
4328654057,Media
19662198,Media
913873254,Media
1526033995,Journalist
55061343,Other
815531748092157952,Other
1239568980878262272,Other
1249016466994839553,Media
89416107,Media
1254535155311673346,Other
1267797369455853568,Other
426737202,Other
43948964,Media
1211602816638173184,Media
1001355342,Media
4843380557,Media
35748752,Media
1075517596865318912,Other
389514754,Other
186933748,Journalist
1411616208391180291,Other
1467819993962364935,Other
1453366248083951621,Media
470321789,Other
3395281047,Other
36505934,Other
1370669012787560448,Other
35690649,Media
231807647,Media
2907722050,Other
1583470988,Other
381160646,Other
1489899626,Other
3370576529,Political_Figure
1329506603389870085,Other
246727705,Other
23296450,Media
1046342986206973956,Other
1316832141364408322,Other
1493253454554443778,Other
985587663607656449,Media
1360001508,Journalist
249601317,European_Parliament
3049350832,Other
2792405680,Other
4107184143,Other
1333590722889592832,Journalist
2903496610,Other
577431005,Other
1379062441095614470,Media
107402923,Other
1275837750328070145,Other
329561922,Journalist
1233069623463030784,Other
770568842145894400,Other
4774742541,Media
1090334969866698752,Other
1218532148703113216,Other
3091916613,Other
212698662,Other
309412526,Media
969123456544624640,Other
1432656427852738560,Media
14465184,Other
2805686362,Other
237719164,Other
3366439607,Media
284134092,Other
3335306548,Blog
3382926383,Other
3021818855,Other
417118637,Other
1230100072647532544,Media
704501221781053441,Other
1425125963877298176,Other
2435413776,Other
125311222,Media
388218649,Other
2151065568,Media
1274227297,Journalist
1327958995198500867,Other
1582987559281491968,Other
720238842,Blog
804246598100414464,Other
1247182833312989184,Other
2200853882,Media
959433266033057792,Other
1279031471181889537,Other
709702013865562112,Greek_Parliament
1102217748334239744,Other
4103637017,Media
66699630,Other
97900385,Media
3695916255,Other
1445808055443148803,Other
217713011,Other
1477634562213695493,Other
1664749908,Other
1009854294458339333,Other
,Other
319248633,Other
1231982311253708803,Other
1267429503330127874,Other
1428753814111363074,Other
1175867018983157760,Other
707666511398305792,Other
1155469205862531072,Other
25694578,Journalist
4912869514,Other
1143999527281713152,Other
71884206,Other
143384678,Other
446060182,Other
1536088183393628160,Other
15334638,Media
171905938,Blog
1558552681370763264,Other
1529045044472205319,Other
1510213039,Blog
1071082600951877636,Other
86905994,Blog
3657355877,Other
2460217272,Other
596557379,Media
1137528692,Other
155498394,Media
958370034400813056,Media
27368755,Other
1425023935758979083,Other
2290453579,Other
1361411161569296386,Other
840575681222307840,Other
862470536609361920,Other
1240237603154255874,Other
325388281,Other
3404150477,Other
794493691113127936,Other
1406641158198071298,Other
17389650,Media
998503751005671424,Journalist
2442874787,Other
1546988025514807300,Other
342244128,Other
1358745630533955586,Media
1233668549870178304,Other
137041926,Media
1058364462074380289,Media
311951299,European_Parliament
27931380,Media
57631109,Other
1572228117774622720,Other
1407766093868023810,Media
1896875864,Media
121142198,Media
391398244,Other
1313762334150660096,Other
3047116815,Journalist
221299970,Media
1009905266,Blog
289527193,Journalist
91233529,Other
998200466210197504,Other
903219124381331456,Other
1322529413792227328,Media
172496404,Other
1410940236700471297,Media
1233505596,Media
3016778457,Media
18424977,Other
4294434147,Other
1409869325016649737,Other
1527074713,Media
805707414939062276,Other
373365660,Media
165375029,Political_Figure
4884512903,Other
196498971,Media
309072154,Other
,Other
1851378294,Media
716692406662508545,Other
1486004787237863435,Other
419586186,Journalist
498896010,Journalist
1515718530,Media
26992878,Journalist
1492193895203188736,Other
3131053102,Other
546990071,Other
761477095,Other
1412966262,Other
1323997118437199873,Media
1474447016684105839,Other
935781275293704192,Other
1343106768768004097,Other
18934391,Media
307831651,Media
413499999,Other
1567870504622514177,Media
1201786297456693248,Other
142594984,Other
2533089097,Media
1488115468141535234,Media
2562476944,Other
1337945388456833024,Other
1900736600,Other
1207760897055379456,Blog
1034473588789784576,Blog
955389118439190528,Media
3084432297,Media
1227655327883153409,Other
1441149881339432968,Media
893472435080765444,Media
814531768556670978,Media
1084423591612043264,Other
116423705,Blog
264825365,Other
1243438080159363072,Other
999976406007341056,Other
3099796007,Media
53888440,Other
1439239445014794243,Other
1486037240904138752,Other
3059571706,Other
1244628291404824578,Other
499693655,Media
1170768425339240449,Other
535315559,Journalist
1485037520,Other
763296535979360256,Other
98872288,Media
802996723094274052,Other
